location,date difference,lack,spending,Population - Sex: all - Age: all - Variant: estimates,GDP per capita,Domestic general government health expenditure (% of GDP),lack per population,urgency,log_urgency,Economy
Libya,134,166138.0,48844.3139081744,7305660,12755.204,3.8293636,0.022740998075464775,3329808206.7542524,9.522419219348034,Developed
Thailand,87,25632.0,50369.8271157584,71702438,16421.072,3.0673897,0.0003574773845207328,3174426013.6832614,9.50166520943099,Developed
United Kingdom,37,466855.0,385012.44343633,68682965,38406.53,10.024661,0.006797245867297663,3081470452.0685763,9.488758007677568,Developed
Georgia,115,275377.0,39892.1984480292,3807494,14360.359,2.7779388,0.07232499906762821,3022572742.122887,9.48037676151707,Developed
Paraguay,80,149484.0,36075.551825489405,6844152,8762.771,4.1169114,0.02184112801702826,2268774648.3093376,9.355791360646451,Developing
Romania,23,612795.0,131584.99835792,19118481,26197.904,5.02273,0.03205249412858689,2047811858.0670736,9.31129005349683,Developed
Belarus,76,246085.0,84913.64426203459,9115680,18699.799,4.5408854,0.026995791866322644,2007753195.077804,9.302710325702305,Developed
Armenia,117,189752.0,32612.791693271396,2943395,13837.577,2.3568282,0.06446705250229752,2003700447.2132359,9.301832795116182,Developed
Mauritania,118,16390.0,4965.51621767096,5022440,3680.3662,1.3491908,0.0032633540669475395,1956191256.4563222,9.29141131341836,Developing
Chile,20,582934.0,117597.523048536,19658834,22740.72,5.1712313,0.0296525216093691,1948987094.6050792,9.289808963406818,Developed
Moldova,91,181007.0,29330.577975909004,3067071,6674.871,4.394179,0.05901624057610665,1722423615.6110494,9.236139971331951,Developing
Netherlands,35,794478.0,380556.36504190497,18092525,49669.867,7.661715,0.04391194706101,1321995908.9052467,9.121230111168815,Developed
Saudi Arabia,33,225117.0,208305.95595249004,33264288,53516.91,3.892339,0.006767527986770677,1186311599.6180618,9.074198776903957,Developed
Vietnam,94,2135.0,16999.6347715503,100352189,8050.359,2.1116617,2.1275071538299978e-05,1184712558.8906603,9.0736129923458,Developing
Republic of Serbia,35,334904.0,90695.085731464,6773203,17097.686,5.304524,0.04944543962435498,875384223.6611603,8.942198715410928,Developed
South Korea,84,36960.0,210868.9408427,51748744,41320.9,5.103203,0.0007142202330553182,761900827.7373908,8.881898445395542,Developed
Bosnia and Herzegovina,131,147513.0,83005.7275380375,3185071,12142.863,6.8357625,0.04631388122902127,741502549.2693633,8.87011264846179,Developed
Czechia,23,673773.0,260473.97971417502,10809722,32247.395,8.077365,0.06233028009415968,643119412.8075963,8.808291619127118,Developed
Portugal,28,372275.0,197108.978340657,10430735,28992.059,6.798723,0.03569019824585708,551607812.7683811,8.741630408733267,Developed
El Salvador,80,52546.0,53782.01592378651,6309628,9218.905,5.8338833,0.008327907762549552,493169632.5520073,8.692996326599424,Developing
Belgium,24,638425.0,366795.0618928499,11712894,41872.395,8.75983,0.054506170720916625,489284952.53086835,8.689561859673082,Developed
Hungary,24,314966.0,151828.954137348,9686463,29451.855,5.1551576,0.032516100046012665,482264773.16015697,8.68328554021155,Developed
Canada,10,448834.0,396351.81380826497,39299099,45529.645,8.705357,0.011420974307833369,445028158.97541845,8.648387491656731,Developed
Panama,47,292951.0,138103.2653202,4458759,23557.02,5.86251,0.0657023624735044,444531861.89829683,8.647902894554154,Developed
Namibia,111,42325.0,35137.18628985601,2963101,7979.328,4.403527,0.014284022043123066,396186268.7506629,8.597899419437871,Developing
Bulgaria,25,195665.0,104995.66461350201,6795804,20592.455,5.0987444,0.028792031082709273,316608546.30396944,8.500522633718251,Developed
Sweden,30,457428.0,460724.22721491003,10551493,47126.13,9.776407,0.04335196924264651,314280086.97397643,8.497316864659673,Developed
North Macedonia,102,107608.0,66951.684432465,1831800,14050.995,4.764907,0.058744404410961897,300304111.5280832,8.477561278258705,Developed
Austria,35,327154.0,383762.65660757007,9130434,43792.855,8.763134,0.03583115545219428,272426272.7735081,8.435248988594438,Developed
Greece,24,139245.0,129751.620120022,10242909,25283.906,5.131787,0.013594282639824292,263816148.86393142,8.421301376304498,Developed
Switzerland,17,411533.0,266396.30698045803,8870564,63323.254,4.206927,0.0463931042039717,232957459.32752907,8.367276621171527,Developed
Israel,15,355621.0,215961.99532155,9256311,36648.918,5.892725,0.038419301166523034,228633183.9935448,8.359139264464234,Developed
Costa Rica,20,157417.0,87412.281853426,5105527,15496.82,5.6406593,0.0308326642871539,183886457.76497373,8.264549746994996,Developed
